Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
AAPL,07/14/17,1.46,,1.39,,1.66,put,148,15,0.168,-0.2642,3.7023,17.1926,,0,153.18,06/1/17
AAPL,07/14/17,10.15,,9.65,,10.15,put,162.5,1,0.1791,-0.8226,2.7613,13.6704,,0,153.18,06/1/17
AAPL,07/14/17,1.73,,1.65,,1.96,put,149,1,0.1662,-0.302,3.991,18.3333,,0,153.18,06/1/17
AAPL,07/14/17,6,,5.7,,6.47,put,157.5,1,0.1623,-0.6795,4.1946,18.8136,,0,153.18,06/1/17
AAPL,07/21/17,0.02,,0,,0.04,put,35,0,1.3779,-0.0008,0.0036,0.1581,,363,153.18,06/1/17
AAPL,07/21/17,32.25,,31.6,,31.46,put,185,0,0.3229,-0.9353,0.6899,7.1593,,19,153.18,06/1/17
AAPL,07/21/17,0.08,,0.07,,0.07,put,125,31,0.259,-0.0149,0.2565,2.135,,10059,153.18,06/1/17
AAPL,07/21/17,42.25,,41.6,,42.25,put,195,0,0.3911,-0.9444,0.506,6.3607,,0,153.18,06/1/17
AAPL,07/21/17,0.23,,0.22,,0.22,put,135,327,0.2079,-0.046,0.8186,5.4698,,19647,153.18,06/1/17
AAPL,07/21/17,1.05,,1,,1.04,put,145,1883,0.1746,-0.1876,2.7198,15.2634,,23337,153.18,06/1/17
AAPL,07/21/17,0.13,,0.11,,0.13,put,130,288,0.2324,-0.0253,0.4483,3.3485,,18077,153.18,06/1/17
AAPL,07/21/17,12.6,,12.05,,12.47,put,165,3,0.1896,-0.846,2.2076,13.4515,,270,153.18,06/1/17
AAPL,07/21/17,27.25,,26.6,,26.28,put,180,0,0.2862,-0.9288,0.8382,7.7088,,0,153.18,06/1/17
AAPL,07/21/17,62.25,,61.6,,101.4,put,215,0,0.5118,-0.9548,0.3278,5.3908,,0,153.18,06/1/17
AAPL,07/21/17,47.25,,46.6,,47.2,put,200,0,0.4231,-0.9477,0.4457,6.0598,,1,153.18,06/1/17
AAPL,07/21/17,22.25,,21.6,,22.11,put,175,3,0.2473,-0.9201,1.0598,8.4233,,814,153.18,06/1/17
AAPL,07/21/17,4.65,,4.45,,4.66,put,155,841,0.1627,-0.5637,4.2706,22.3274,,12409,153.18,06/1/17
AAPL,07/21/17,77.25,,76.6,,98.45,put,230,0,0.5918,-0.9595,0.2595,4.935,,0,153.18,06/1/17
AAPL,07/21/17,0.02,,0,,0.04,put,45,0,1.149,-0.001,0.0051,0.1886,,165,153.18,06/1/17
AAPL,07/21/17,72.25,,71.6,,69.64,put,225,0,0.5659,-0.9581,0.2788,5.0701,,0,153.18,06/1/17
AAPL,07/21/17,8.1,,7.9,,8.1,put,160,759,0.1643,-0.7519,3.3983,17.9436,,12070,153.18,06/1/17
AAPL,07/21/17,0.02,,0,,0.04,put,40,0,1.2558,-0.0009,0.0043,0.1728,,360,153.18,06/1/17
AAPL,07/21/17,67.25,,66.6,,64.67,put,220,0,0.5393,-0.9566,0.3012,5.2207,,10,153.18,06/1/17
AAPL,07/21/17,2.31,,2.22,,2.29,put,150,2070,0.1655,-0.3525,3.9571,21.0519,,17829,153.18,06/1/17
AAPL,07/21/17,17.35,,16.75,,17.2,put,170,3,0.216,-0.896,1.4748,10.2386,,207,153.18,06/1/17
AAPL,07/21/17,0.48,,0.46,,0.48,put,140,5469,0.1895,-0.093,1.5484,9.4323,,16869,153.18,06/1/17
AAPL,07/21/17,37.25,,36.6,,36.44,put,190,0,0.3578,-0.9404,0.5844,6.7205,,4,153.18,06/1/17
AAPL,07/21/17,0.02,,0,,0.06,put,55,0,0.9674,-0.0012,0.0071,0.2221,,511,153.18,06/1/17
AAPL,08/18/17,0.1,,0.09,,0.13,put,115,0,0.2892,-0.0134,0.1674,2.4268,,3911,153.18,06/1/17
AAPL,08/18/17,0.27,,0.25,,0.26,put,125,5,0.2537,-0.0362,0.4422,5.6251,,7189,153.18,06/1/17
AAPL,08/18/17,18.15,,17.65,,18.47,put,170,100,0.2258,-0.8266,1.6028,18.1475,,407,153.18,06/1/17
AAPL,08/18/17,47.3,,46.65,,46.35,put,200,0,0.3496,-0.9413,0.4728,8.2881,,65,153.18,06/1/17
AAPL,08/18/17,2.54,,2.45,,2.56,put,145,727,0.2093,-0.2673,2.2194,23.2937,,7362,153.18,06/1/17
AAPL,08/18/17,37.4,,36.75,,37.15,put,190,0,0.3066,-0.9258,0.6466,9.9398,,21,153.18,06/1/17
AAPL,08/18/17,1.45,,1.39,,1.45,put,140,148,0.216,-0.1695,1.651,17.8814,,12169,153.18,06/1/17
AAPL,08/18/17,127.25,,126.6,,129.15,put,280,0,0.6622,-0.9653,0.1637,5.4337,,2,153.18,06/1/17
AAPL,08/18/17,0.16,,0.15,,0.16,put,120,2,0.2702,-0.0216,0.2703,3.662,,10789,153.18,06/1/17
AAPL,08/18/17,0.05,,0.04,,0.04,put,105,570,0.3376,-0.0062,0.0731,1.2368,,987,153.18,06/1/17
AAPL,08/18/17,13.7,,13.4,,13.95,put,165,0,0.2091,-0.7627,2.0863,21.8769,,808,153.18,06/1/17
AAPL,08/18/17,0.07,,0.06,,0.06,put,110,0,0.3129,-0.009,0.1098,1.7222,,2062,153.18,06/1/17
AAPL,08/18/17,22.8,,22.2,,23.05,put,175,100,0.2431,-0.8695,1.2321,15.0188,,175,153.18,06/1/17
AAPL,08/18/17,42.35,,41.7,,41.39,put,195,0,0.3291,-0.9341,0.5498,9.0723,,33,153.18,06/1/17
AAPL,08/18/17,4.25,,4.1,,4.25,put,150,98,0.2052,-0.392,2.6441,27.2063,,6170,153.18,06/1/17
AAPL,08/18/17,57.25,,56.6,,56.29,put,210,0,0.3924,-0.9501,0.3706,7.2912,,18,153.18,06/1/17
AAPL,08/18/17,0.81,,0.77,,0.82,put,135,68,0.2254,-0.1021,1.1163,12.6181,,6868,153.18,06/1/17
AAPL,08/18/17,6.65,,6.5,,6.7,put,155,18,0.2021,-0.5295,2.78,28.1713,,3051,153.18,06/1/17
AAPL,08/18/17,9.85,,9.65,,10,put,160,31,0.2038,-0.659,2.5425,25.9743,,1175,153.18,06/1/17
AAPL,08/18/17,0.46,,0.42,,0.46,put,130,1536,0.2382,-0.0606,0.7115,8.4974,,7778,153.18,06/1/17
AAPL,09/15/17,0.11,,0.1,,0.11,put,110,0,0.2855,-0.0128,0.1397,2.7174,,789,153.18,06/1/17
AAPL,09/15/17,23.1,,22.55,,24.23,put,175,0,0.2264,-0.8473,1.2629,19.478,,14,153.18,06/1/17
AAPL,09/15/17,3.4,,3.25,,3.4,put,145,91,0.2108,-0.2924,1.9748,28.3662,,4817,153.18,06/1/17
AAPL,09/15/17,10.7,,10.5,,10.8,put,160,51,0.2031,-0.6318,2.2483,31.1174,,2597,153.18,06/1/17
AAPL,09/15/17,5.2,,5.05,,5.2,put,150,86,0.2063,-0.401,2.2702,31.9113,,2413,153.18,06/1/17
AAPL,09/15/17,0.76,,0.73,,0.77,put,130,183,0.2311,-0.0829,0.8008,12.6094,,6752,153.18,06/1/17
AAPL,09/15/17,27.75,,27.15,,27,put,180,0,0.2374,-0.8833,1.0011,16.1943,,114,153.18,06/1/17
AAPL,09/15/17,47.35,,46.7,,44.93,put,200,0,0.3086,-0.9353,0.496,10.4292,,3,153.18,06/1/17
